categorie,type,prix,adresse,image_lien
Chaussures Enfants,Chaussures enfants,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg
Chaussures Enfants,Chaussures enfants,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416767_uploaded_image1_1752155258.jpg
Chaussures Enfants,Chaussures enfants,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg
Chaussures Enfants,Chaussures enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg
Chaussures Enfants,Chaussures enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg
Chaussures Enfants,Chaussures enfants,3 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg
Chaussures Enfants,Chaussures enfants,3 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5294302_uploaded_image1_1745410325.jpg
Chaussures Enfants,Chaussures enfant,18 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg
Chaussures Enfants,Chaussures enfant,18 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5284783_uploaded_image1_1744813725.jpg
Chaussures Enfants,Chaussures pour enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg
Chaussures Enfants,Chaussures enfants,2 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg
Chaussures Enfants,Chaussures enfants,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg
Chaussures Enfants,Chaussures enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5231304_uploaded_image1_1741922219.jpg
Chaussures Enfants,Chaussures enfant,8 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg
Chaussures Enfants,Chaussures enfant,7 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg
Chaussures Enfants,Chaussures enfant,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg
Chaussures Enfants,Baskets Nike Jordan,20 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg
Chaussures Enfants,Ballerines enfants,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg
Chaussures Enfants,Chaussures enfants,2 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
Chaussures Enfants,Baskets enfant,3 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg
Chaussures Enfants,Basket,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg
Chaussures Enfants,Claquettes,8 450CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg
Chaussures Enfants,Ensemble chaussures et chaussettes pour bebe,1 800CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Chaussures Enfants,Ballerines enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002639_uploaded_image1_1729418695.jpg
Chaussures Enfants,Baskets Nike Air Max,6 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg
Chaussures Enfants,Jordan enfants,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4976138_uploaded_image1_1728002356.jpg
Chaussures Enfants,jordans enfants,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures Enfants,Chaussures enfant,4 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures Enfants,Chaussures enfants,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934544_uploaded_image1_1725833379.jpg
